date,season,home_team,away_team,wday,midweek,points_home,points_away,fthg,ftag,hs,as,hst,ast,hf,af,hy,ay,hr,ar,hc,ac,acn,before_national_comps,after_national_comps,capacity,distance,ln_capacity,season_part,ht_promoted,at_promoted,ht_mv,at_mv,ht_short_week,at_short_week,rm_hs,rm_as,rm_hst,rm_ast,rm_fthg,rm_ftag,rm_hc,rm_ac,rm_hf,rm_af,rm_hy,rm_ay,rm_hr,rm_ar,h,a,d,expected_points_ht,expected_points_at,rm_exp_points_ht,rm_exp_points_at,dec_mar,diff_rm_exp_points,ht_outcome,ht_points,w
2009-09-26,2009-10,Tottenham,Burnley,7,0,3,0,5,0,18,10,12,7,10,14,1,1,0,0,2,7,0,0,0,36284,282650.23177724384,10.499132151734834,beginning,0,1,$289.88m,$52.97m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6991494580327858,0.10323534878533981,0.19761519318187437,2.0974483740983576,0.30970604635601945,1.3689846569408874,0.42085340512838143,0,0.948131251812506,1,3,1.0696604207970768
2009-09-26,2009-10,Wigan,Chelsea,7,0,3,0,3,1,15,14,9,8,11,11,1,2,0,1,4,7,0,0,0,25138,284107.7025154161,10.132135924484782,beginning,0,0,$85.36m,$497.15m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09445130988268388,0.7080988459482143,0.19744984416910188,0.2833539296480516,2.124296537844643,0.5847179747061287,2.11039696700774,0,-1.5256789923016112,1,3,1.0694968907164064
2009-09-27,2009-10,Sunderland,Wolves,1,0,3,0,5,2,10,15,8,11,18,11,1,3,0,0,7,8,0,0,0,49000,263308.1632907321,10.799575577092764,beginning,0,1,$144.73m,$72.02m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5412523978408562,0.192043601821254,0.26670400033788977,1.6237571935225685,0.5761308054637619,1.3135347203875443,0.9177693214123747,0,0.3957653989751696,1,3,1.071867416858747
2009-09-28,2009-10,Man City,West Ham,2,0,3,0,3,1,20,12,12,8,18,14,1,1,0,0,11,5,0,0,0,53400,262158.73729490716,10.885566024948286,beginning,0,0,$343.75m,$133.93m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654420806099305,0.12293392312844904,0.22264527077224594,1.9632624182979148,0.36880176938534714,1.302683744554558,0.640610177461385,0,0.662073567093173,1,3,1.0720007498361461
2009-10-03,2009-10,Bolton,Tottenham,7,0,1,1,2,2,12,17,9,9,15,16,2,1,0,0,5,6,0,0,0,28723,275214.9015277537,10.265453474531439,beginning,0,0,$94.38m,$289.88m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24322383869679137,0.48414291668689124,0.27263324461631727,0.7296715160903742,1.4524287500606738,0.9855384763899335,1.2184992138596615,0,-0.232960737469728,0,0,1.0705006824508565
2009-10-03,2009-10,Burnley,Birmingham,7,0,3,0,2,1,15,10,13,6,17,11,0,3,0,0,8,4,0,0,0,21944,148146.05658343312,9.99624903261744,beginning,1,1,$52.97m,$76.62m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4154523072039797,0.298245901204393,0.28630179159162733,1.246356921611939,0.894737703613179,0.6907863281058954,0.9984266647641284,0,-0.3076403366582331,1,3,1.086533480760888
2009-10-03,2009-10,Hull,Wigan,7,0,3,0,2,1,11,13,6,5,14,8,0,2,0,0,4,2,0,0,0,25586,152445.51527194795,10.14980060587698,beginning,0,0,$80.52m,$85.36m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340779238785912,0.3749908627333901,0.2842298984806979,1.022337716357736,1.1249725882001704,0.7391252007711115,0.7205217045992747,0,0.018603496171836875,1,3,1.0859355990563366
2009-10-03,2009-10,Man United,Sunderland,7,0,1,1,2,2,17,4,9,3,11,15,2,3,0,1,14,1,0,0,0,74140,171992.15128726047,11.213710476704723,beginning,0,0,$423.36m,$144.73m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7766796234583477,0.0718052089346604,0.1515151676069919,2.330038870375043,0.21541562680398119,1.8351317350000298,1.1340602843076781,0,0.7010714506923517,0,0,1.0832691058454045
2009-10-03,2009-10,Wolves,Portsmouth,7,0,0,3,0,1,11,12,5,8,8,12,1,2,0,0,8,6,0,0,0,32050,212821.6565541323,10.375052462348815,beginning,1,0,$72.02m,$106.32m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44881707415690125,0.2722864167857707,0.27889650905732805,1.3464512224707037,0.8168592503573121,0.9219625934621974,0.7398886354689925,0,0.18207395799320492,0,-3,1.0779631790604547
2009-10-04,2009-10,Arsenal,Blackburn,1,0,3,0,6,2,24,7,18,7,9,10,1,1,0,0,8,1,0,0,0,60704,290505.7421693032,11.013764872734741,beginning,0,0,$345.73m,$100.79m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7649830325399121,0.07667056721860276,0.15834640024148522,2.294949097619736,0.23001170165580825,1.8762975674249092,0.8216211096650081,0,1.054676457759901,1,3,1.0687835519715716
